cod_evaluation,cod_metric,value
8,F1,85.94
8,EM,78.35
8,EM@3,88.01
8,F1@3,91.99
9,F1,83.17
9,EM,72.21
9,EM@3,84.55
9,F1@3,89.74
10,F1,85.92
10,EM,78.33
10,EM@3,87.87
10,F1@3,91.85
11,F1,83.1
11,EM,72.15
11,EM@3,84.41
11,F1@3,89.65
12,F1,85.97
12,EM,78.39
12,EM@3,88.32
12,F1@3,92.16
13,F1,83.26
13,EM,72.37
13,EM@3,84.97
13,F1@3,89.98
14,EM,72.2
14,F1,83.17
14,EM@3,84.55
14,F1@3,89.74
15,EM,78.34
15,F1,85.94
15,EM@3,88.0
15,F1@3,91.98
16,EM,72.14
16,F1,83.1
16,EM@3,84.41
16,F1@3,89.65
17,EM,78.32
17,F1,85.92
17,EM@3,87.86
17,F1@3,91.84
