cod_evaluation,cod_question,cod_metric,value
8,56be4db0acb8001400a502ec,EM,1.0
8,56be4db0acb8001400a502ec,F1,1.0
8,56be4db0acb8001400a502ec,EM@3,1.0
8,56be4db0acb8001400a502ec,F1@3,1.0
8,56be4db0acb8001400a502ed,EM,1.0
8,56be4db0acb8001400a502ed,F1,1.0
8,56be4db0acb8001400a502ed,EM@3,1.0
8,56be4db0acb8001400a502ed,F1@3,1.0
8,56be4db0acb8001400a502ee,EM,1.0
8,56be4db0acb8001400a502ee,F1,1.0
8,56be4db0acb8001400a502ee,EM@3,1.0
8,56be4db0acb8001400a502ee,F1@3,1.0
8,56be4db0acb8001400a502ef,EM,0.0
8,56be4db0acb8001400a502ef,F1,0.0
8,56be4db0acb8001400a502ef,EM@3,1.0
8,56be4db0acb8001400a502ef,F1@3,1.0
8,56be4db0acb8001400a502f0,EM,0.0
8,56be4db0acb8001400a502f0,F1,0.0
8,56be4db0acb8001400a502f0,EM@3,0.0
8,56be4db0acb8001400a502f0,F1@3,0.0
8,56be8e613aeaaa14008c90d1,EM,1.0
8,56be8e613aeaaa14008c90d1,F1,1.0
8,56be8e613aeaaa14008c90d1,EM@3,1.0
8,56be8e613aeaaa14008c90d1,F1@3,1.0
8,56be8e613aeaaa14008c90d2,EM,1.0
8,56be8e613aeaaa14008c90d2,F1,1.0
8,56be8e613aeaaa14008c90d2,EM@3,1.0
8,56be8e613aeaaa14008c90d2,F1@3,1.0
8,56be8e613aeaaa14008c90d3,EM,0.0
8,56be8e613aeaaa14008c90d3,F1,0.25
8,56be8e613aeaaa14008c90d3,EM@3,1.0
8,56be8e613aeaaa14008c90d3,F1@3,1.0
8,56bea9923aeaaa14008c91b9,EM,1.0
8,56bea9923aeaaa14008c91b9,F1,1.0
8,56bea9923aeaaa14008c91b9,EM@3,1.0
8,56bea9923aeaaa14008c91b9,F1@3,1.0
8,56bea9923aeaaa14008c91ba,EM,1.0
8,56bea9923aeaaa14008c91ba,F1,1.0
8,56bea9923aeaaa14008c91ba,EM@3,1.0
8,56bea9923aeaaa14008c91ba,F1@3,1.0
8,56bea9923aeaaa14008c91bb,EM,1.0
8,56bea9923aeaaa14008c91bb,F1,1.0
8,56bea9923aeaaa14008c91bb,EM@3,1.0
8,56bea9923aeaaa14008c91bb,F1@3,1.0
8,56beace93aeaaa14008c91df,EM,1.0
8,56beace93aeaaa14008c91df,F1,1.0
8,56beace93aeaaa14008c91df,EM@3,1.0
8,56beace93aeaaa14008c91df,F1@3,1.0
8,56beace93aeaaa14008c91e0,EM,1.0
