cod,name_learning_method,ind_language,name_model,num_max_answer_length,Shots,time_execution_per_question
30,context,pt,EleutherAI/gpt-neo-1.3B,80,0,1395
28,context,en,EleutherAI/gpt-j-6B,80,2,573
23,context,en,EleutherAI/gpt-neo-2.7B,80,0,568
25,context,en,EleutherAI/gpt-neo-2.7B,80,2,557
29,context,en,EleutherAI/gpt-j-6B,80,3,542
26,context,en,EleutherAI/gpt-neo-2.7B,80,3,538
27,context,en,EleutherAI/gpt-j-6B,80,1,528
24,context,en,EleutherAI/gpt-neo-2.7B,80,1,496
19,context,en,EleutherAI/gpt-neo-1.3B,80,0,469
18,context,en,EleutherAI/gpt-j-6B,80,0,467
22,context,en,EleutherAI/gpt-neo-1.3B,80,3,401
21,context,en,EleutherAI/gpt-neo-1.3B,80,2,379
20,context,en,EleutherAI/gpt-neo-1.3B,80,1,360
16,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,160,,276
14,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,80,,249
17,transfer,en,distilbert-base-cased-distilled-squad,160,,221
15,transfer,en,distilbert-base-cased-distilled-squad,80,,220
