cod,name_learning_method,ind_language,name_model,num_max_answer_length,cod_prompt_format,num_shot,ind_format_example,ind_language_prompt,time_execution_total
30,context,pt,EleutherAI/gpt-neo-1.3B,80,1.0,0.0,,pt,14745
37,context,pt,EleutherAI/gpt-j-6B,80,203.0,2.0,tptp,en,14365
39,context,pt,EleutherAI/gpt-j-6B,80,3.0,2.0,tptp,pt,12719
38,context,pt,EleutherAI/gpt-j-6B,80,103.0,2.0,tptp,en,10828
36,context,pt,EleutherAI/gpt-neo-1.3B,80,101.0,0.0,,en,8757
35,context,pt,EleutherAI/gpt-neo-1.3B,80,103.0,2.0,tptp,en,7709
33,context,pt,EleutherAI/gpt-neo-1.3B,80,4.0,2.0,tpp,pt,6271
34,context,en,EleutherAI/gpt-j-6B,80,303.0,2.0,tptp,en,6062
28,context,en,EleutherAI/gpt-j-6B,80,103.0,2.0,tptp,en,6060
23,context,en,EleutherAI/gpt-neo-2.7B,80,101.0,0.0,,en,6005
25,context,en,EleutherAI/gpt-neo-2.7B,80,103.0,2.0,tptp,en,5887
32,context,pt,EleutherAI/gpt-neo-1.3B,80,3.0,2.0,tptp,pt,5847
29,context,en,EleutherAI/gpt-j-6B,80,104.0,2.0,tpp,en,5730
26,context,en,EleutherAI/gpt-neo-2.7B,80,104.0,2.0,tpp,en,5687
27,context,en,EleutherAI/gpt-j-6B,80,102.0,1.0,,en,5582
24,context,en,EleutherAI/gpt-neo-2.7B,80,102.0,1.0,,en,5241
31,context,pt,EleutherAI/gpt-neo-1.3B,80,2.0,1.0,,pt,5224
19,context,en,EleutherAI/gpt-neo-1.3B,80,101.0,0.0,,en,4957
18,context,en,EleutherAI/gpt-j-6B,80,101.0,0.0,,en,4937
22,context,en,EleutherAI/gpt-neo-1.3B,80,104.0,2.0,tpp,en,4238
21,context,en,EleutherAI/gpt-neo-1.3B,80,103.0,2.0,tptp,en,4008
20,context,en,EleutherAI/gpt-neo-1.3B,80,102.0,1.0,,en,3801
16,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,160,,,,,2922
14,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,80,,,,,2632
17,transfer,en,distilbert-base-cased-distilled-squad,160,,,,,2331
15,transfer,en,distilbert-base-cased-distilled-squad,80,,,,,2329
