cod,name_learning_method,ind_language,name_model,num_max_answer_length,Shots,EM,EM@3,F1,F1@3
15,transfer,en,distilbert-base-cased-distilled-squad,80,,78.34,88.0,85.94,91.98
17,transfer,en,distilbert-base-cased-distilled-squad,160,,78.32,87.86,85.92,91.84
14,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,80,,72.2,84.55,83.17,89.74
16,transfer,pt,pierreguillou/bert-large-cased-squad-v1.1-portuguese,160,,72.14,84.41,83.1,89.65
29,context,en,EleutherAI/gpt-j-6B,80,3,56.81,64.49,68.73,77.83
28,context,en,EleutherAI/gpt-j-6B,80,2,56.23,65.01,67.67,77.77
27,context,en,EleutherAI/gpt-j-6B,80,1,56.4,64.7,67.79,77.31
25,context,en,EleutherAI/gpt-neo-2.7B,80,2,46.19,53.7,58.52,68.33
26,context,en,EleutherAI/gpt-neo-2.7B,80,3,45.07,50.82,58.79,66.85
24,context,en,EleutherAI/gpt-neo-2.7B,80,1,43.85,51.25,56.93,66.31
21,context,en,EleutherAI/gpt-neo-1.3B,80,2,38.72,45.72,51.42,60.68
20,context,en,EleutherAI/gpt-neo-1.3B,80,1,36.14,42.77,48.8,57.94
22,context,en,EleutherAI/gpt-neo-1.3B,80,3,35.37,40.43,49.02,56.69
18,context,en,EleutherAI/gpt-j-6B,80,0,30.96,36.38,39.49,47.89
23,context,en,EleutherAI/gpt-neo-2.7B,80,0,16.97,20.09,29.38,35.25
19,context,en,EleutherAI/gpt-neo-1.3B,80,0,14.42,16.67,27.38,32.33
30,context,pt,EleutherAI/gpt-neo-1.3B,80,0,2.55,2.65,15.68,16.94
